role,role_description,responsibilities,example_outputs
Digital Design Engineer,Designs and tests RF circuits and antennas.,Develop firmware,Test sensor
FPGA Developer,Designs instrumentation systems for measurements and control.,Design circuits,Assemble board
VLSI Engineer,Designs instrumentation systems for measurements and control.,Test hardware,Simulate circuit
Analog Design Engineer,Develops FPGA-based logic systems and hardware solutions.,Program microcontrollers,Design PCB
Test Engineer,Develops control systems for automation and stability.,Design circuits,Assemble board
Electronics Design Engineer,Processes and analyzes signals for communication systems.,Test hardware,Simulate circuit
Hardware Design Engineer,Designs digital circuits and logic-based systems.,Troubleshoot issues,Test sensor
Analog Design Engineer,Implements automation using PLCs and sensors.,Test hardware,Design PCB
Signal Processing Engineer,Designs and tests hardware components and circuits.,Program microcontrollers,Code firmware
Mechatronics Engineer,Designs instrumentation systems for measurements and control.,Program microcontrollers,Simulate circuit
Instrumentation Engineer,Designs PCB layouts for electronic devices.,Develop firmware,Test sensor
Control Systems Engineer,Designs digital circuits and logic-based systems.,Troubleshoot issues,Design PCB
Power Electronics Engineer,Designs integrated circuits and verifies chip layouts.,Test hardware,Test sensor
PCB Designer,Programs microcontrollers for specific embedded tasks.,Design circuits,Simulate circuit
Robotics Engineer,Tests and validates electronic hardware and software systems.,Troubleshoot issues,Code firmware
PCB Designer,Develops power conversion circuits and devices.,Design circuits,Assemble board
Instrumentation Engineer,Designs PCB layouts for electronic devices.,Test hardware,Design PCB
Digital Design Engineer,Combines mechanical and electrical systems for automation.,Program microcontrollers,Design PCB
FPGA Developer,Designs and tests RF circuits and antennas.,Design circuits,Simulate circuit
IoT Developer,Combines mechanical and electrical systems for automation.,Test hardware,Test sensor
Robotics Engineer,Develops control systems for automation and stability.,Test hardware,Design PCB
Robotics Engineer,Develops control systems for automation and stability.,Design circuits,Code firmware
Test Engineer,Develops circuit designs and electronic schematics.,Test hardware,Simulate circuit
FPGA Developer,Builds and programs robotic systems for automation.,Program microcontrollers,Assemble board
PCB Designer,Builds and programs robotic systems for automation.,Test hardware,Code firmware
FPGA Developer,Designs PCB layouts for electronic devices.,Program microcontrollers,Code firmware
Control Systems Engineer,Designs and programs embedded systems for various applications.,Troubleshoot issues,Code firmware
Test Engineer,Develops power conversion circuits and devices.,Develop firmware,Code firmware
Instrumentation Engineer,Designs and programs embedded systems for various applications.,Troubleshoot issues,Code firmware
Automation Engineer,Designs and tests hardware components and circuits.,Develop firmware,Design PCB
Automation Engineer,Designs and tests RF circuits and antennas.,Develop firmware,Test sensor
Signal Processing Engineer,Develops FPGA-based logic systems and hardware solutions.,Test hardware,Design PCB
Robotics Engineer,Develops circuit designs and electronic schematics.,Program microcontrollers,Code firmware
Mechatronics Engineer,Processes and analyzes signals for communication systems.,Program microcontrollers,Test sensor
PCB Designer,Designs instrumentation systems for measurements and control.,Design circuits,Test sensor
FPGA Developer,Designs analog circuits for amplification and filtering.,Design circuits,Code firmware
Mechatronics Engineer,Builds and programs robotic systems for automation.,Troubleshoot issues,Assemble board
RF Engineer,Designs PCB layouts for electronic devices.,Program microcontrollers,Design PCB
Control Systems Engineer,Designs PCB layouts for electronic devices.,Troubleshoot issues,Simulate circuit
Hardware Design Engineer,Develops circuit designs and electronic schematics.,Test hardware,Assemble board
Instrumentation Engineer,Designs instrumentation systems for measurements and control.,Test hardware,Design PCB
Signal Processing Engineer,Programs microcontrollers for specific embedded tasks.,Troubleshoot issues,Test sensor
Hardware Design Engineer,Designs analog circuits for amplification and filtering.,Develop firmware,Code firmware
PCB Designer,Processes and analyzes signals for communication systems.,Program microcontrollers,Test sensor
VLSI Engineer,Designs digital circuits and logic-based systems.,Troubleshoot issues,Simulate circuit
VLSI Engineer,Combines mechanical and electrical systems for automation.,Design circuits,Design PCB
Control Systems Engineer,Maintains telecommunication equipment and systems.,Program microcontrollers,Test sensor
Embedded Systems Engineer,Builds and programs robotic systems for automation.,Develop firmware,Simulate circuit
PCB Designer,Develops IoT-based smart devices and connectivity systems.,Program microcontrollers,Simulate circuit
RF Engineer,Designs analog circuits for amplification and filtering.,Develop firmware,Assemble board
Microcontroller Programmer,Designs instrumentation systems for measurements and control.,Program microcontrollers,Design PCB
Test Engineer,Designs and tests hardware components and circuits.,Troubleshoot issues,Simulate circuit
PCB Designer,Tests and validates electronic hardware and software systems.,Develop firmware,Test sensor
Control Systems Engineer,Combines mechanical and electrical systems for automation.,Test hardware,Simulate circuit
Automation Engineer,Designs integrated circuits and verifies chip layouts.,Test hardware,Test sensor
Microcontroller Programmer,Maintains telecommunication equipment and systems.,Troubleshoot issues,Test sensor
Control Systems Engineer,Develops control systems for automation and stability.,Develop firmware,Test sensor
Electronics Design Engineer,Implements automation using PLCs and sensors.,Design circuits,Assemble board
VLSI Engineer,Develops power conversion circuits and devices.,Develop firmware,Code firmware
Automation Engineer,Implements automation using PLCs and sensors.,Troubleshoot issues,Simulate circuit
IoT Developer,Designs integrated circuits and verifies chip layouts.,Develop firmware,Assemble board
Mechatronics Engineer,Designs and tests RF circuits and antennas.,Test hardware,Test sensor
Power Electronics Engineer,Designs integrated circuits and verifies chip layouts.,Develop firmware,Test sensor
Test Engineer,Designs and tests RF circuits and antennas.,Develop firmware,Test sensor
RF Engineer,Develops FPGA-based logic systems and hardware solutions.,Develop firmware,Simulate circuit
PCB Designer,Designs and tests hardware components and circuits.,Troubleshoot issues,Assemble board
Microcontroller Programmer,Designs and programs embedded systems for various applications.,Program microcontrollers,Design PCB
IoT Developer,Designs integrated circuits and verifies chip layouts.,Troubleshoot issues,Assemble board
Digital Design Engineer,Designs integrated circuits and verifies chip layouts.,Design circuits,Design PCB
Electronics Design Engineer,Designs PCB layouts for electronic devices.,Program microcontrollers,Design PCB
VLSI Engineer,Combines mechanical and electrical systems for automation.,Test hardware,Assemble board
FPGA Developer,Develops control systems for automation and stability.,Design circuits,Test sensor
Telecommunication Engineer,Maintains telecommunication equipment and systems.,Design circuits,Test sensor
FPGA Developer,Processes and analyzes signals for communication systems.,Test hardware,Test sensor
Hardware Design Engineer,Designs digital circuits and logic-based systems.,Design circuits,Code firmware
PCB Designer,Designs instrumentation systems for measurements and control.,Test hardware,Simulate circuit
Test Engineer,Designs and programs embedded systems for various applications.,Test hardware,Test sensor
Mechatronics Engineer,Designs and tests RF circuits and antennas.,Develop firmware,Simulate circuit
